08/07/2020;16,8;10,1
09/07/2020;18,7;6,3
10/07/2020;24;5,6
11/07/2020;28,2;15
12/07/2020;28,1;16,7
13/07/2020;29,2;15,1
14/07/2020;25;8,7
15/07/2020;26,9;8,1
16/07/2020;24;15,5
17/07/2020;29;14,8
18/07/2020;29,5;17,4
19/07/2020;28,8;16,5
20/07/2020;28,6;13,4
21/07/2020;29,3;13
22/07/2020;30,1;13
23/07/2020;30,1;12,9
24/07/2020;29,8;14,8
25/07/2020;17,1;5,8
26/07/2020;23,6;4,8
27/07/2020;28,3;16,5
28/07/2020;25;11,8
29/07/2020;20;6,9
30/07/2020;23,6;6,1
31/07/2020;27;12,6
01/08/2020;29;12,9
02/08/2020;28,8;12
03/08/2020;28,4;10,5
04/08/2020;28,5;13,1
05/08/2020;28,6;13,8
06/08/2020;29,6;13,7
07/08/2020;28,8;11,7
08/08/2020;29;10,6
09/08/2020;30,1;10
10/08/2020;30,8;11,6
11/08/2020;31,4;11,3
12/08/2020;22,4;15,5
13/08/2020;22,4;14
14/08/2020;28,4;12,2
15/08/2020;22,6;16,1
16/08/2020;22,2;16,6
17/08/2020;23;17,8
18/08/2020;20,3;17,3
19/08/2020;18,4;13,7
20/08/2020;14,7;6,9
21/08/2020;14,7;0,4
22/08/2020;19,4;1,3
23/08/2020;23,9;7,4
24/08/2020;26,8;13,9
25/08/2020;28,5;15,2
26/08/2020;29,2;15,7
27/08/2020;32,9;15,6
28/08/2020;32,7;16
29/08/2020;34;16,4
30/08/2020;35,7;14,3
31/08/2020;35;14
01/09/2020;33,1;17,3
02/09/2020;31,8;18,2
03/09/2020;30;16,4
04/09/2020;31,6;14,2
05/09/2020;35,9;16,8
06/09/2020;36,4;17
07/09/2020;31,1;16,9
08/09/2020;30,1;16,2
09/09/2020;35,3;17,3
10/09/2020;36,7;17
11/09/2020;37,9;17,9
12/09/2020;37,6;19,5
13/09/2020;37,2;16,1
14/09/2020;30,3;14,8
15/09/2020;31,2;15,5
16/09/2020;33,4;20,2
17/09/2020;22,4;14,4
18/09/2020;30;11,9
19/09/2020;32,4;12
20/09/2020;29,6;14,5
21/09/2020;29,5;15
22/09/2020;28,3;14,4
23/09/2020;30,8;14,7
24/09/2020;33,3;16,4
25/09/2020;36;13,5
26/09/2020;38,3;19,3
27/09/2020;37,1;20,7
28/09/2020;23,6;15,5
29/09/2020;35;14
30/09/2020;40;22,4
01/10/2020;40;19,3
02/10/2020;40,5;20,6
03/10/2020;40,7;21,6
04/10/2020;36,4;20,5
05/10/2020;34,6;19,9
06/10/2020;38,7;18,1
07/10/2020;39,3;20,8
08/10/2020;34,7;21,9
09/10/2020;28,7;16,3
10/10/2020;30,6;9,7
11/10/2020;33,2;13,9
12/10/2020;34,8;15,6
13/10/2020;32,8;17,5
14/10/2020;35,3;16,7
15/10/2020;26,6;18
16/10/2020;29;17,7
17/10/2020;31,3;16,3
18/10/2020;32,5;16,4
19/10/2020;36,1;16,9
20/10/2020;34,3;19,5
21/10/2020;36,2;19,9
22/10/2020;35,2;20,1
23/10/2020;35,5;20,3
24/10/2020;34,4;20,1
25/10/2020;36,4;20,4
26/10/2020;26,1;18
27/10/2020;29,5;13,7
28/10/2020;34,3;11,4
29/10/2020;25;16,2
30/10/2020;30,2;13,6
31/10/2020;30,2;13,3
01/11/2020;30;14,1
02/11/2020;29,9;13,9
03/11/2020;31,1;13,9
04/11/2020;31,9;13,4
05/11/2020;32,4;11,7
06/11/2020;34,4;12,1
07/11/2020;36,2;16,7
08/11/2020;36,9;17,2
09/11/2020;25,6;19,4
10/11/2020;28;16,9
